Retire_Year,Risk_Type,Holdings,Expenses,Dividend_Yield,Risk_Level,Return_1Y,Return_3Y,Return_5Y,BIL,BIV,BLV,BNDX,BSV,DBC,TIP,VB,VBK,VBR,VEA,VNQ,VO,VOE,VOO,VOT,VTV,VUG,VWO,,,,
2020,Aggressive,19,0.08,2.07,Medium low,26.64,42.48,73.04,2,10,7,5,3,2,8,2,2,2,15,2,4,4,8,3,9,7,5,,,,
2020,Conservative,19,0.09,2.52,Medium low,13.13,32.51,45.37,3,20,14,9,6,2,15,1,1,1,7,2,2,2,4,2,4,3,2,,,,
2020,Moderate,19,0.09,2.33,Medium low,19.73,37.51,58.01,3,15,11,6,5,2,12,1,1,2,11,2,3,3,6,2,7,5,3,,,,
2025,Aggressive,19,0.08,2.06,Medium,30.17,44.32,79.63,1,7,7,4,2,2,5,2,2,3,18,3,4,4,9,3,10,8,6,,,,
2025,Conservative,19,0.09,2.61,Medium low,14.94,34.89,49.87,2,18,17,9,5,2,11,1,1,1,9,2,2,2,4,2,5,4,3,,,,
2025,Moderate,19,0.08,2.32,Medium low,22.75,40.09,65.54,2,13,12,6,3,2,8,2,1,2,13,2,3,3,7,3,8,6,4,,,,
2030,Aggressive,19,0.07,1.94,Medium,34.28,47.58,86.64,1,5,5,2,1,2,2,3,2,3,21,3,4,5,10,4,11,9,7,,,,
2030,Conservative,19,0.08,2.62,Medium low,17.15,36.38,54.38,2,16,18,8,3,2,8,1,1,2,11,2,2,2,5,2,6,5,4,,,,
2030,Moderate,19,0.08,2.25,Medium,26.62,42.68,72.17,1,10,11,5,2,2,5,2,2,2,16,2,3,4,8,3,9,7,6,,,,
2035,Aggressive,17,0.08,1.83,Medium,36.65,48.51,91.28,,2,3,1,,3,1,3,3,4,24,3,4,5,10,4,12,9,9,,,,
2035,Conservative,19,0.08,2.55,Medium low,21.98,40.36,64.1,1,13,17,7,2,2,5,2,2,2,14,2,3,3,6,2,7,5,5,,,,
2035,Moderate,19,0.07,2.1,Medium,31.87,46.44,82.37,1,7,8,3,1,2,2,3,2,3,20,3,4,4,9,3,10,8,7,,,,
2040,Aggressive,16,0.08,1.79,Medium,38.32,48.5,92.45,,1,2,1,,3,,3,3,4,26,3,4,5,10,4,12,9,10,,,,
2040,Conservative,18,0.07,2.39,Medium low,26.13,44.28,73.68,,10,14,6,1,2,2,2,2,3,17,2,3,4,7,3,9,6,7,,,,
2040,Moderate,17,0.08,1.98,Medium,34.84,47.75,87.53,,4,6,2,,3,1,3,3,3,22,3,4,5,9,4,11,8,9,,,,
2045,Aggressive,15,0.08,1.79,Medium,38.68,48.04,91.89,,1,2,,,3,,3,3,4,27,3,4,5,10,4,10,10,11,,,,
2045,Conservative,17,0.07,2.25,Medium,30.45,46.19,80.48,,7,11,4,,2,1,3,2,3,20,3,4,4,8,3,10,7,8,,,,
2045,Moderate,16,0.08,1.89,Medium,35.6,47.75,88.65,,3,4,1,,3,,3,3,4,24,3,4,5,10,4,11,8,10,,,,
2050,Aggressive,15,0.08,1.8,Medium,38.39,47.88,91.56,,1,2,,,3,,3,3,4,27,3,4,5,10,4,11,9,11,,,,`
2050,Conservative,16,0.07,2.18,Medium,32.05,46.97,83.63,,5,10,4,,2,,3,3,3,22,3,4,4,8,3,10,7,9,,,,
2050,Moderate,16,0.08,1.89,Medium,36.88,47.59,89.18,,2,4,1,,3,,3,3,4,25,3,4,5,9,4,11,8,11,,,,
2055,Aggressive,16,0.08,1.82,Medium,38.39,47.19,90.24,,1,2,1,,3,,4,3,4,27,3,4,5,9,3,11,8,12,,,,
2055,Conservative,16,0.07,2.14,Medium,32.74,47.26,84.43,,4,9,3,,2,,3,3,4,23,3,4,4,8,3,10,7,10,,,,
2055,Moderate,16,0.08,1.91,Medium,36.73,47.25,88.73,,2,4,1,,3,,4,3,4,26,3,4,4,9,3,11,8,11,,,,
2060,Aggressive,16,0.08,1.83,Medium,38.67,47.14,90.42,,1,2,1,,3,,4,3,4,28,3,4,4,9,3,10,8,13,,,,
2060,Conservative,16,0.07,2.13,Medium,32.83,46.49,83.57,,3,9,3,,2,,3,3,4,23,3,4,4,8,3,10,7,11,,,,
2060,Moderate,16,0.08,1.93,Medium,36.31,46.87,88.01,,1,5,1,,3,,4,3,4,26,3,4,4,9,3,10,8,12,,,,
